SECRETARIA,CÓDIGO MUNICIPIO, NOMBRE MUNICIPIO, CÓDIGO ESTABLECIMIENTO, NOMBRE ESTABLECIMIENTO, CÓDIGO SEDE, NOMBRE SEDE, ZONA, DIRECCIÓN, TELÉFONO, ESTADO SEDE, NIVELES, MODELOS, GRADOS,SECTOR
BOYACA,15022,ALMEIDA,315022000196,I.E. ENRIQUE SUAREZ,215022000078,ESC EL ROSAL,RURAL,VDA EL ROSAL,7500809,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"-1,0,1,2,3,4,5",OFICIAL
BOYACA,15022,ALMEIDA,315022000196,I.E. ENRIQUE SUAREZ,215022000302,ESC BELEN JOSE SALVADOR DIAZ PERILLA,RURAL,VDA BELEN,,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,21,22,23,24,25,26",OFICIAL
BOYACA,15047,AQUITANIA,115047000019,I.E. TECNICA RAMON IGNACIO AVELLA,215047000196,ESC CAJON,RURAL,VDA CAJON,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15047,AQUITANIA,115047000019,I.E. TECNICA RAMON IGNACIO AVELLA,315047000441,COL RAMON IGNACIO AVELLA NOC,URBANA,KR 7 5 73,7794749,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15047,AQUITANIA,215047000170,I.E. TOQUILLA,215047000170,I.E. TOQUILLA - SEDE PRINCIPAL,RURAL,VDA TOQUILLA,,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,TEJIENDO SABERES","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",OFICIAL
BOYACA,15047,AQUITANIA,215047000170,I.E. TOQUILLA,215047000161,SEDE LAVERDEROS,RURAL,VDA TOQUILLA CUARTO LAVERDEROS,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15047,AQUITANIA,215047000170,I.E. TOQUILLA,215047000200,SEDE SORIANO,RURAL,VDA SORIANO,,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","ESCUELA NUEVA,TEJIENDO SABERES","0,1,2,3,4,5,21,22,23,24,25,26",OFICIAL
BOYACA,15047,AQUITANIA,215047000153,I.E. SUSE,215047000218,SEDE DEL UPIA,RURAL,VDA SUSE CUARTO DEL UPIA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,21,22,23",OFICIAL
BOYACA,15047,AQUITANIA,215047000153,I.E. SUSE,215047000641,SEDE ZAPATERO,RURAL,VDA SUSE CUARTO ZAPATERO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,21,22,23,24",OFICIAL
BOYACA,15087,BELÉN,115087000208,I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA,215087000105,PEDRO PASCASIO MARTINEZ,RURAL,VDA VENTA SECTOR TENERIA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15087,BELÉN,115087000011,I.E. TECNICA SUSANA GUILLEMIN,215087000211,ESCUELA MONTERREDONDO,RURAL,SECTOR MONTERREDONDO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15090,BERBEO,315090000064,I.E. CAMPO ELIAS CORTES,215090000051,ESC RODEO,RURAL,VDA RODEO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15092,BETÉITIVA,215092000105,I.E. TECNICO AGROPECUARIO SANTA RITA DE CASIA,215092000067,ESC RURAL DIVAQUIA,RURAL,VDA DE DIVAQUIA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5,21",OFICIAL
BOYACA,15097,BOAVITA,215097000162,ESC RURAL OSPINA PEREZ,215097000162,ESC RURAL OSPINA PEREZ,URBANA,VDA MELONAL SECTOR OSPINA PEREZ,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15097,BOAVITA,115097000265,I.E. TECNICO INDUSTRIAL MARISCAL SUCRE,215097000332,ESC RURAL LA ESMERALDA,RURAL,VDA RIO DE ABAJO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"-1,0,1,2,3,4,5",OFICIAL
BOYACA,15097,BOAVITA,115097000036,I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,115097000036,I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO - SEDE PRINCIPAL,URBANA,CL 4 6 82,7885220,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",OFICIAL
BOYACA,15097,BOAVITA,115097000028,I.E. TECNICO AGRICOLA,215097000243,ESC RURAL EL CABUYAL,RURAL,VDA EL CABUYAL,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15104,BOYACÁ,115104000128,I.E. DE BOYACA,115104000128,I.E. DE BOYACA - SEDE PRINCIPAL,URBANA,CL 6 1 40,3107859265,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,TEJIENDO SABERES","6,7,8,9,10,11,21,22,23,24,25,26",OFICIAL
BOYACA,15104,BOYACÁ,115104000128,I.E. DE BOYACA,215104000068,ESC RIQUE,RURAL,VDA HUERTA CHICA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"-1,0,1,2,3,4,5",OFICIAL
BOYACA,15109,BUENAVISTA,215109000163,I.E. TECNICA AGROPECUARIA LA GRANJA,215109000139,ESC MIRAFLORES,RURAL,VDA MIRAFLORES,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,23,24",OFICIAL
BOYACA,15109,BUENAVISTA,215109000163,I.E. TECNICA AGROPECUARIA LA GRANJA,215109000163,I.E. TECNICA AGROPECUARIA LA GRANJA - SEDE PRINCIPAL,RURAL,VDA CAMPOALEGRE KM 18 VIA A COPER,,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","POST PRIMARIA,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL","-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23",OFICIAL
BOYACA,15109,BUENAVISTA,215109000163,I.E. TECNICA AGROPECUARIA LA GRANJA,215109000171,ESC LA HERRADURA,RURAL,VDA LA HERRADURA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15109,BUENAVISTA,115109000363,I.E. JOSE MARIA SILVA SALAZAR,215109000201,ESC CAMPOHERMOSO,RURAL,VDA CAMPOHERMOSO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15131,CALDAS,415131000141,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,215131000096,ESC QUIPE CERRO ALTO,RURAL,VDA QUIPE CERRO ALTO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15131,CALDAS,415131000141,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,215131000126,ESC LAS VUELTAS,RURAL,VDA VUELTAS,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15131,CALDAS,115131000172,I.E. FRANCISCO JOSE DE CALDAS,215131000118,ESC EL CUBO,RURAL,VDA EL CUBO,987265831,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15135,CAMPOHERMOSO,315135000338,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000376,ESC RUR AGUALARGA,RURAL,VDA AGUALARGA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","-1,0,1,2,3,4,5,21,22,23",OFICIAL
BOYACA,15135,CAMPOHERMOSO,315135000338,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000384,ESC RUR PUERTO TRIUNFO,RURAL,VDA PUERTO TRIUNFO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,21,22,23",OFICIAL
BOYACA,15135,CAMPOHERMOSO,315135000338,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000040,ESC RUR CASTAÑAL,RURAL,VDA CASTAÑAL,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,21,22,23,24",OFICIAL
BOYACA,15135,CAMPOHERMOSO,215135000236,I.E. TECNICA MARIA AUXILIADORA,215135000147,ESC RUR LIMON,RURAL,VDA LIMON,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,21",OFICIAL
BOYACA,15135,CAMPOHERMOSO,215135000236,I.E. TECNICA MARIA AUXILIADORA,215135000155,ESC RUR CURAPO,RURAL,VDA CURAPO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15172,CHINAVITA,215172000050,I.E. JUAN DE JESUS ACEVEDO,215172000106,ESC JORDAN,RURAL,VDA. JORDAN,,CIERRE TEMPORAL,,,,OFICIAL
BOYACA,15176,CHIQUINQUIRÁ,315176800039,LICEO ATELIER INGENIO,315176800039,LICEO ATELIER INGENIO,URBANA,CL 6 9 38,3102013649,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"-2,-1,0,1,2,3,4,5",NO OFICIAL
